experiment_id,Imbalance ratio,Model,Sampler,Feature,Group,Role,Threshold used,DIR,n_samples,favourable_label_rate,default_label_rate
24,0.02,XGBClassifier,ClassWeight,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9947127390296532,420077.0,0.9772874972921632,0.0227125027078368
25,0.02,LogisticRegression,Baseline,emp_length,emp_length < 5 years,unprivileged,5.0,0.9995308337069796,330252.0,0.979712461998716,0.0202875380012838
25,0.02,LogisticRegression,Baseline,emp_length,emp_length >= 5 years,privileged,5.0,0.9995308337069796,548728.0,0.9801723258153402,0.0198276741846597
25,0.02,LogisticRegression,Baseline,annual_inc,higher annual income,privileged,11.082157933374816,0.9947127390296532,458903.0,0.982482136747853,0.0175178632521469
25,0.02,LogisticRegression,Baseline,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9947127390296532,420077.0,0.9772874972921632,0.0227125027078368
26,0.02,LogisticRegression,RandomUnderSampler,emp_length,emp_length < 5 years,unprivileged,5.0,0.9900054982294476,13317.0,0.496883682511076,0.5031163174889239
26,0.02,LogisticRegression,RandomUnderSampler,emp_length,emp_length >= 5 years,privileged,5.0,0.9900054982294476,21843.0,0.5018999221718629,0.4981000778281371
26,0.02,LogisticRegression,RandomUnderSampler,annual_inc,higher annual income,privileged,11.082157933374816,0.8745055543419739,17256.0,0.5341330551692165,0.4658669448307835
26,0.02,LogisticRegression,RandomUnderSampler,annual_inc,lower annual income,unprivileged,11.082157933374816,0.8745055543419739,17904.0,0.4671023235031278,0.5328976764968723
27,0.02,LogisticRegression,SMOTEENN,emp_length,emp_length < 5 years,unprivileged,5.0,0.955030399637084,612795.0,0.4435251593110257,0.5564748406889742
27,0.02,LogisticRegression,SMOTEENN,emp_length,emp_length >= 5 years,privileged,5.0,0.955030399637084,971115.0,0.4644094674678076,0.5355905325321924
27,0.02,LogisticRegression,SMOTEENN,annual_inc,higher annual income,privileged,11.082157933374816,0.7844817433048584,745273.0,0.5151092284303872,0.4848907715696127
27,0.02,LogisticRegression,SMOTEENN,annual_inc,lower annual income,unprivileged,11.082157933374816,0.7844817433048584,838637.0,0.4040937855114906,0.5959062144885093
28,0.02,LogisticRegression,KMeansSMOTE,emp_length,emp_length < 5 years,unprivileged,5.0,1.0642594765824596,622152.0,0.5200529774074503,0.4799470225925497
28,0.02,LogisticRegression,KMeansSMOTE,emp_length,emp_length >= 5 years,privileged,5.0,1.0642594765824596,1100676.0,0.4886524281441586,0.5113475718558413
28,0.02,LogisticRegression,KMeansSMOTE,annual_inc,higher annual income,privileged,11.082157933374816,0.6223244690154345,699441.0,0.6446061926595668,0.3553938073404333
28,0.02,LogisticRegression,KMeansSMOTE,annual_inc,lower annual income,unprivileged,11.082157933374816,0.6223244690154345,1023387.0,0.4011542065709257,0.5988457934290743
29,0.02,LogisticRegression,ClassWeight,emp_length,emp_length < 5 years,unprivileged,5.0,0.9995308337069796,330252.0,0.979712461998716,0.0202875380012838
29,0.02,LogisticRegression,ClassWeight,emp_length,emp_length >= 5 years,privileged,5.0,0.9995308337069796,548728.0,0.9801723258153402,0.0198276741846597
